pos	5pC>T
1	0.136585365853659
2	0.0670859538784067
3	0.0412667946257198
4	0.0296650717703349
5	0.0156862745098039
6	0.0169154228855721
7	0.0191754554170662
8	0.0178748758689176
9	0.0163147792706334
10	0.0104662226450999
11	0.0113207547169811
12	0.0161453077699294
13	0.00977517106549365
14	0.00985221674876847
15	0.0119485294117647
16	0.0101102941176471
17	0.00841908325537886
18	0.0137236962488564
19	0.0116906474820144
20	0.0206185567010309
21	0.010597302504817
22	0.0146056475170399
23	0.0130963517305893
24	0.0216776625824694
25	0.0131180625630676
